# Rattachement etablissement penitentiaire -> commune d'implantation (code INSEE, COG 2025).
# Construit le 2026-08-07 par jointure sur le nom entre le fichier mensuel DGAP
# « statistique_etablissements_personnes_ecrouees » (onglets Tab14-Tab23) et la Base de
# donnees locales de l'annuaire de l'administration (DILA, licence ouverte 2.0,
# https://lecomarquage.service-public.gouv.fr/donnees_locales_v4/all_latest.tar.bz2,
# types maison_arret / centre_penitentiaire / centre_detention / maison_centrale / csl / esm).
# La jointure floue a ete faite UNE fois puis verifiee a la main ; ce fichier est le
# resultat fige. Le connecteur (plateforme/normalize/prisons.py) le lit tel quel et ne
# refait jamais le rapprochement : un etablissement du xlsx absent d'ici bloque le run.
# provenance = annuaire (appariement exact sur le nom) ou manuel (resolu a la main,
# la colonne reference dit depuis quoi). Les arrondissements municipaux sont replies
# sur leur commune (CP de Marseille-Baumettes : 13209 -> 13055).
etablissement,code_commune,provenance,reference
CD ARGENTAN,61006,annuaire,Centre de détention d'Argentan
CD BAPAUME,62080,annuaire,Centre de détention de Bapaume
CD BEDENAC,17038,annuaire,Centre de détention de Bédenac
CD CASABIANDA,2B009,manuel,"CD de Casabianda-Aléria (annuaire), Aléria"
CD CHATEAUDUN,28088,annuaire,Centre de détention de Châteaudun
CD ECROUVES,54174,annuaire,Centre de détention d'Ecrouves
CD EYSSES,47323,manuel,CD d'Eysses-Villeneuve-sur-Lot (annuaire)
CD JOUX LA VILLE,89208,annuaire,Centre de détention de Joux-la-Ville
CD KONE,98811,annuaire,Centre de détention de Koné
CD LE PORT,97407,manuel,CD du Port (la Réunion) (annuaire)
CD MAUZAC,24260,annuaire,Centre de détention de Mauzac
CD MELUN,77288,annuaire,Centre de détention de Melun
CD MONTMEDY,55351,annuaire,Centre de détention de Montmédy
CD MURET,31395,annuaire,Centre de détention de Muret
CD NEUVIC SUR L ISLE,24309,annuaire,Centre de détention de Neuvic-sur-l'Isle
CD OERMINGEN,67355,annuaire,Centre de détention d'Oermingen
CD ROANNE,42187,annuaire,Centre de détention de Roanne
CD SALON DE PROVENCE,13103,annuaire,Centre de détention de Salon-de-Provence
CD ST MIHIEL,55463,annuaire,Centre de détention de Saint-Mihiel
CD ST SULPICE LA POINTE,81271,annuaire,Centre de détention de Saint-Sulpice-la-Pointe
CD TARASCON,13108,annuaire,Centre de détention de Tarascon
CD TATUTU DE PAPEARI,98747,annuaire,Centre de détention de Tatutu de Papeari
CD TOUL,54528,annuaire,Centre de détention de Toul
CD UZERCHE,19276,annuaire,Centre de détention d'Uzerche
CD VAL DE REUIL,27701,annuaire,Centre de détention de Val-de-Reuil
CD VILLENAUXE LA GRANDE,10420,annuaire,Centre de détention de Villenauxe-la Grande
CP AITON,73007,annuaire,Centre pénitentiaire d'Aiton
CP AIX LUYNES,13001,annuaire,Centre pénitentiaire d'Aix-Luynes
CP ALENCON CONDE SUR SARTHE,61117,annuaire,Centre pénitentiaire d'Alençon-Condé sur Sarthe
